Product ID,Product name,Price (RON),Original Price (RON),Contents
107,Zambet cald,403.2,403.2,"{'Crini': 1, 'Lisianthus': 4, 'Garoafe': 8}"
10183,Lalele si irisi,529.2,529.2,"{'Lalele': 19, 'Irisi': 20}"
10230,Trandafiri galbeni rotund,295.2,295.2,{'Trandafiri': 11}
1029,Frezii Rosii,367.2,367.2,{'Frezii': 25}
1028,Frezii mov,367.2,367.2,{'Frezii': 25}
10177,Orhidee cymbidium mov,538.2,538.2,{'Orhidee': 3}
10210,Buchet mixt,277.2,277.2,"{'Gerbera': 5, 'Crizanteme': 4}"
10233,Trandafiri rosii rotund,295.2,295.2,{'Trandafiri': 11}
10291,Buchet 99 trandafiri,1780.2,1780.2,{'Trandafiri': 99}
10217,Gerbera multicolore,259.2,259.2,{'Gerbera': 11}
10263,Crini si trandafiri,547.2,547.2,"{'Trandafiri': 14, 'Crini': 3}"
1024,Crini asiatici roz,457.2,457.2,{'Crini': 7}
10108,17 Trandafiri albi,367.65,387.0,{'Trandafiri': 17}
10335,Cadoul Iepurasului,628.2,628.2,"{'Trandafiri': 19, 'Spumant': 1, 'Raffaello': 1}"
10170,Martisor extravagant,1303.2,1303.2,{'Trandafiri': 39}
10336,Buchet iscoditor,718.2,718.2,"{'Trandafiri': 19, 'Lisianthus': 9, 'Trachelium': 5}"
10151,Buna dimineata,533.97,628.2,"{'Crini': 3, 'Alstroemeria': 5, 'Gerbera': 4, 'Cale': 5}"
10364,Irisi si frezii,361.8,361.8,"{'Irisi': 15, 'Frezii': 10}"
1033,Irisi albi,313.2,313.2,{'Irisi': 19}
10118,Buchet crini,475.2,475.2,{'Crini': 9}
10109,17 Trandafiri galbeni,367.65,387.0,{'Trandafiri': 17}
10303,Cos pastelat,538.2,538.2,{'Trandafiri': 19}
10306,Buchet pascal,412.2,412.2,"{'Irisi': 8, 'Trandafiri': 7, 'Crini': 2}"
10296,Caldura estivala,511.2,511.2,"{'Trandafiri': 10, 'Cale': 9}"
10325,Margarete zambitoare,358.2,358.2,{'Crizanteme': 9}
10161,Raze de bucurie,457.2,457.2,"{'Crini': 2, 'Alstroemeria': 7, 'Trandafiri': 7, 'Minirosa': 5}"
1099,Buchet lalele albe,298.08,331.2,{'Lalele': 25}
1040,Buchet gerbera,255.15,340.2,{'Gerbera': 11}
1055,39 Trandafiri multicolori,718.2,718.2,{'Trandafiri': 39}
10255,Buchet Constantin,313.2,313.2,{'Crizanteme': 9}
10295,Cupidon in alb,583.2,583.2,{'Trandafiri': 25}
10165,Extravaganta estivala,511.2,511.2,"{'Trandafiri': 7, 'Gerbera': 6, 'Crini': 2}"
10158,Special Valentine's,265.05,279.0,{'Trandafiri': 11}
10273,Martisor mix,439.2,439.2,"{'Crini': 2, 'Trandafiri': 5, 'Crizanteme': 5, 'Garoafe': 5}"
10218,Irisi de lux,403.2,403.2,{'Irisi': 25}
10257,Lisianthus mix,403.2,403.2,{'Lisianthus': 11}
10196,Un zambet,264.6,264.6,{'Orhidee': 1}
1044,23 Trandafiri galbeni,469.8,469.8,{'Trandafiri': 23}
1085,Gerbera albe,306.18,340.2,{'Gerbera': 19}
10181,Moment roz,476.28,529.2,"{'Trandafiri': 9, 'Alstroemeria': 10}"
10121,Garoafe mix,277.2,277.2,{'Garoafe': 19}
10188,Mix de primavara,439.2,439.2,"{'Crini': 3, 'Crizanteme': 5, 'Garoafe': 12, 'Santini': 5}"
1060,Alstroemeria mov,331.2,331.2,{'Alstroemeria': 9}
10123,Crizanteme galbene,331.2,331.2,{'Crizanteme': 9}
1010,Trandafiri de lux,1780.2,1780.2,{'Trandafiri': 99}
1077,Buchet anthurium roz,385.2,385.2,{'Anthurium': 9}
10101,Buchet lalele roz,298.08,331.2,{'Lalele': 25}
10104,39 Trandafiri portocalii,727.2,727.2,{'Trandafiri': 39}
10159,Buchet Valentine's day,718.2,718.2,"{'Trandafiri': 20, 'Orhidee cymbidium': 1}"
1011,Orhidee cymbidium mix,898.2,898.2,{'Orhidee': 3}
10280,Contrast de dragobete,403.2,403.2,"{'Trandafiri': 10, 'Frezii': 11}"
10153,Lux si eleganta,718.2,718.2,"{'Trandafiri': 22, 'Crini': 5}"
10107,17 Trandafiri rosii,376.2,396.0,{'Trandafiri': 17}
1058,39 Trandafiri albi,718.2,718.2,{'Trandafiri': 39}
10195,Un gand,264.6,264.6,{'Orhidee': 1}
10239,Privire aprinsa,453.6,453.6,"{'Trandafiri': 9, 'Crizanteme': 5, 'Trandafiri tros': 5}"
1090,Buchet protea,313.2,313.2,{'Protea': 5}
10231,Trandafiri portocalii rotund,295.2,295.2,{'Trandafiri': 11}
10185,Trandafiri Martisor,808.2,808.2,{'Trandafiri': 39}
10100,Buchet lalele galbene,331.2,331.2,{'Lalele': 25}
10189,Apus de soare,565.2,565.2,"{'Trandafiri': 9, 'Gerbera': 9, 'Crini': 3}"
1059,Alstroemeria portocalii,331.2,331.2,{'Alstroemeria': 9}
1052,Alstroemeria roz,331.2,331.2,{'Alstroemeria': 9}
1042,23 Trandafiri,469.8,469.8,{'Trandafiri': 23}
10256,Buchetul Elena,403.2,403.2,"{'Crini': 3, 'Trandafiri': 8}"
10194,Crini asiatici portocalii,365.76,457.2,{'Crini': 7}
10340,Duo passion,629.1,699.0,{'Trandafiri': 25}
1046,23 Trandafiri roz,469.8,469.8,{'Trandafiri': 23}
10112,Buchet de gelozie,331.2,331.2,{'Trandafiri': 13}
10137,Orhidee mov,358.2,358.2,{'Orhidee': 9}
10111,Buchet de iertare,313.2,313.2,{'Trandafiri': 13}
10127,Gladiole galbene,250.56,313.2,{'Gladiole': 19}
1057,39 Trandafiri roz,718.2,718.2,{'Trandafiri': 39}
1021,Orhidee albe,358.2,358.2,{'Orhidee': 9}
10252,Buchet roz,475.2,475.2,"{'Trandafiri': 15, 'Garoafe': 20}"
10154,Buchet amaryllis,304.2,304.2,{'Amaryllis': 5}
10305,Cos exclusive,1348.2,1348.2,"{'Trandafiri': 29, 'Lalele': 25, 'Crizanteme': 9}"
10200,Buchet trandafiri portocalii,529.2,529.2,{'Trandafiri': 27}
10205,Inima de leu,385.2,385.2,"{'Trandafiri': 5, 'Anthurium': 3, 'Gerbera': 3}"
10124,Crizanteme roz,331.2,331.2,{'Crizanteme': 9}
10110,Buchetul iubirii,403.2,403.2,{'Trandafiri': 15}
10278,Lux de amanunte,655.2,655.2,"{'Orhidee': 1, 'Trandafiri': 11, 'Leucadendron': 2, 'Bambus': 1}"
10250,Buchet rosu,475.2,475.2,"{'Trandafiri': 15, 'Garoafe': 20}"
10337,Cos iubaret,718.2,718.2,"{'Trandafiri': 10, 'Gerbera': 10, 'Crizanteme': 5, 'Garoafe': 20}"
1047,Buchet orhidee cymbidium,628.2,628.2,{'Orhidee': 3}
10180,Moment alb,476.28,529.2,"{'Trandafiri': 9, 'Alstroemeria': 10}"
10155,Amaryllis roz,304.2,304.2,{'Amaryllis': 5}
10272,Gerbera mix,331.2,331.2,{'Gerbera': 19}
10157,Buchet Valentine,859.0,859.0,{'Trandafiri': 39}
1081,Anthurium alb,430.2,430.2,{'Anthurium': 11}
10311,Mix cotidian,682.2,682.2,"{'Trandafiri': 12, 'Irisi': 19, 'Garoafe': 10}"
1034,Irisi mix,493.2,493.2,{'Irisi': 39}
1078,Anthurium si garoafe,439.2,439.2,"{'Anthurium': 7, 'Garoafe': 10}"
1063,Gladiole natale,233.28,259.2,{'Gladiole': 15}
10262,Ascendent cromatic,575.1,639.0,"{'Trandafiri': 16, 'Crizanteme': 5}"
10202,Buchet trandafiri galbeni,529.2,529.2,{'Trandafiri': 27}
10156,Amaryllis albe,304.2,304.2,{'Amaryllis': 5}
10193,Un semn bun,565.2,565.2,{'Trandafiri': 29}
1088,Cale mov deluxe,691.2,691.2,{'Cale': 19}
10309,Buchet distins,430.2,430.2,"{'Trandafiri': 7, 'Gerbera': 7, 'Crizanteme': 3}"
10204,Dorinte aprinse,403.2,403.2,{'Gerbera': 21}
10197,Un suspin,264.6,264.6,{'Orhidee': 1}
10142,Placere discreta,403.2,403.2,{'Gerbera': 25}
10266,Buchet 29 trandafiri,583.2,583.2,{'Trandafiri': 29}
10246,Cadou Valentines Day,1099.0,1099.0,"{'Trandafiri': 49, 'Ursulet de plus': 1, 'Cutie raffaello': 1}"
10182,Moment galben,476.28,529.2,"{'Trandafiri': 9, 'Alstroemeria': 10}"
10136,Buchetul indragostitilor,299.0,299.0,{'Trandafiri': 13}
10199,Impact cromatic,475.2,475.2,"{'Trandafiri': 10, 'Garoafe': 15, 'Crizanteme': 4}"
1080,Anthurium mov,439.2,439.2,{'Anthurium': 11}
10333,Aranjament de Paste,259.0,259.0,"{'Lalele': 10, 'Crizanteme': 5}"
1013,Anthurium red,268.2,268.2,{'Anthurium': 5}
10130,Gladiole portocalii,250.56,313.2,{'Gladiole': 19}
106,Primul pas,313.2,313.2,"{'Crini': 1, 'Trandafiri': 6}"
10243,75 Trandafiri albi,1312.2,1312.2,{'Trandafiri': 75}
10203,Buchet trandafiri bicolor,547.2,547.2,{'Trandafiri': 27}
10190,Explozie de culori,475.2,475.2,"{'Gerbera': 19, 'Santini': 4}"
10117,Crizanteme mix,331.2,331.2,{'Crizanteme': 17}
10270,Crini si lisianthus,529.2,529.2,"{'Crini': 5, 'Lisianthus': 10}"
10324,Inima rosa dragobete,749.0,749.0,{'Trandafiri': 27}
10334,Flori de paste,249.0,249.0,"{'Lalele': 10, 'Crizanteme': 5}"
10341,Valentines box,499.0,499.0,{'Trandafiri': 19}
1056,39 Trandafiri,718.2,718.2,{'Trandafiri': 39}
10135,Valentine in roz,324.0,324.0,{'Trandafiri': 13}
10134,Fi Valentina mea!,324.0,324.0,{'Trandafiri': 13}
10229,Trandafiri roz rotund,295.2,295.2,{'Trandafiri': 11}
10331,Galetusa cu flori,304.2,304.2,"{'Lalele': 5, 'Crizanteme': 3, 'Santini': 3}"
10119,Crini asiatici galbeni,365.76,457.2,{'Crini': 7}
10282,Cale si trandafiri,475.2,475.2,"{'Trandafiri': 9, 'Cale': 4}"
10232,Trandafiri albi rotund,295.2,295.2,{'Trandafiri': 11}
10265,Atingere emotionala,529.2,529.2,"{'Trandafiri': 10, 'Crini': 5}"
10191,Dorinta aprinsa,726.75,765.0,{'Trandafiri': 39}
10132,Trandafiri cu leucadendron,349.2,349.2,"{'Trandafiri': 7, 'Leucadendron': 4}"
1062,Ginger,403.2,403.2,{'Ginger': 7}
10327,Cos lalele,349.0,349.0,{'Lalele': 29}
10176,Orhidee cymbidium portocalii,538.2,538.2,{'Orhidee': 3}
10175,Orhidee cymbidium galbene,538.2,538.2,{'Orhidee': 3}
10105,21 Trandafiri,453.6,453.6,{'Trandafiri': 21}
10133,Trandafiri Valentine,1299.0,1299.0,{'Trandafiri': 59}
10330,Tot mai sus,430.2,430.2,"{'Frezii': 10, 'Crizanteme': 4, 'Lalele': 3}"
10264,49 Trandafiri multicolori,988.2,988.2,{'Trandafiri': 49}
10208,Tendinte natale,295.2,295.2,{'Crizanteme': 9}
10223,Trandafiri sofisticati,511.2,511.2,{'Trandafiri': 23}
108,Crini asiatici mix,430.2,430.2,{'Crini': 7}
1089,Cale roz deluxe,691.2,691.2,{'Cale': 19}
10328,Suflet luminat,394.2,394.2,"{'Lalele': 10, 'Frezii': 10, 'Santini': 1}"
10214,Ursulet indragostit,313.2,313.2,{'Trandafiri': 1}
