Product name,Price (RON),Contents
"Aranjament floral cu hortensie, bujori, lisiantus, alstroemeria si bouvardia ",329,"{'Hortensie': 1, 'Bujor': 3, 'Lisianthus': 2, 'Alstroemeria': 2, 'Bouvardia': 2, 'Mattiola': 1}"
19 lalele si frezii cu vin si bomboane,259,{'Lalea': 19}
Buchet cu bujori si alstroemeria,495,"{'Bujor': 15, 'Alstroemeria': 7, 'Panicum': 3}"
"cutie cu bujori, frezii si chamelaucium",239,"{'Bujor': 5, 'Frezia': 4, 'Chamelaucium': 1}"
Buchet cu trandafiri lalele si gerbera ,310,"{'Trandafir': 10, 'Lalea': 10, 'Gerbera': 9}"
"Cutie cu bujori, matiola, greentrick si nigella",399,"{'Bujor': 5, 'Mattiola': 6, 'Greentick': 5, 'Nigella': 3}"
"aranjament cu zambile, lalele, frezii si chamelaucium ",179,"{'Zambila': 3, 'Lalea': 3, 'Frezia': 3, 'Chamelaucium': 2}"
"Cutie cu bumbac, minirose, lisiantus si frezii ",199,"{'Minirosa': 2, 'Lisianthus': 2, 'Frezia': 4, 'Cupe': 5}"
"Buchet cu bujori, hortensie, liliac ",429,"{'Hortensie': 3, 'Bujor': 6, 'Liliac': 3}"
Buchet cu 15 trandafiri roz si mov ,225,{'Trandafir': 15}
Buchet cu 15 trandafiri albi ,219,{'Trandafir': 15}
"Aranjament piramidal cu trandafiri, eustoma, frezii si bumbac ",185,"{'Trandafir': 3, 'Lisianthus': 1, 'Frezia': 3, 'Cupe': 5}"
Cutie natur  cu flori de primavara,249,"{'Frezia': 5, 'Lalea': 9, 'Trandafir': 3, 'Eryngium': 2}"
"Cutie natur cu flori in diferite nuante de roz, galben si alb",169,"{'Lisianthus': 2, 'Gerbera': 3, 'Frezia': 3, 'Narcisa': 3}"
Aranjament floral in carte,329,"{'Trandafir': 3, 'Cupe': 4, 'Hortensie': 1, 'Veronica': 3, 'Greentick': 3, 'Frezia': 3, 'Lisianthus': 1}"
"Cutie cu trandafiri, frezii, chamelaucium si eryngium",195,"{'Trandafir': 3, 'Frezia': 4, 'Chamelaucium': 2, 'Eryngium': 1}"
cutie cu flori de primavara,165,"{'Lisianthus': 1, 'Frezia': 3, 'Lalea': 3, 'Chamelaucium': 1}"
"Buchet cu trandafiri, mathiola, green trick,  chamelaucium, eryngium",525,"{'Trandafir': 20, 'Greentick': 10, 'Mattiola': 5, 'Eryngium': 2, 'Chamelaucium': 5}"
