Product ID,Product name,Competitor Price (RON),Original Price (RON),Contents,Price N (RON),Difference,Difference (%)
bloom1082,Buchet din 15 trandafiri rosii,309.0,339.0,{'Trandafir': 15},161.0,-148.0,-0.47896440129449835
bloom1076,buchet cu liliac si trandafiri albi,289.0,289.0,"{'Trandafir': 5, 'Liliac': 4}",141.0,-148.0,-0.5121107266435986
bloom1069,buchet colorat cu 51 de trandafiri,819.0,819.0,{'Trandafir': 51},521.0,-298.0,-0.36385836385836384
bloom1064,buchet cu 19 trandafiri albi,389.0,389.0,{'Trandafir': 19},201.0,-188.0,-0.4832904884318766
bloom1061,buchet de flori pentru aniversare,219.0,219.0,"{'Trandafir': 3, 'Crizantema': 1, 'Alstroemeria': 3, 'Chamelaucium': 3}",94.0,-125.0,-0.5707762557077626
bloom1056,buchet elegant cu 17 trandafiti rosii,359.0,359.0,{'Trandafir': 17},181.0,-178.0,-0.4958217270194986
bloom1050,buchet aniversar cu flori roz si albe,209.0,209.0,"{'Trandafir': 2, 'Gerbera': 2, 'Alstroemeria': 3, 'Lisianthus': 2}",74.0,-135.0,-0.645933014354067
bloom1049,buchet cu 51 de trandafiri pentru ea,869.0,869.0,{'Trandafir': 51},521.0,-348.0,-0.4004602991944764
bloom1045,Buchet de 101 trandafiri,1.519,1.719,{'Trandafir': 101},1021.0,1019.0,670.8360763660303
bloom113,Buchet cu cymbidium trandafiri si craspedia,345.0,345.0,"{'Trandafir': 3, 'Craspedia': 6}",71.0,-274.0,-0.7942028985507247
bloom04,Buchet cu 59 de trandafiri rosii,940.0,940.0,{'Trandafir': 59},601.0,-339.0,-0.3606382978723404
Buchet de trandafiri personalizat,Buchet/aranjament de trandafiri personalizat,189.0,250.0,{'Trandafir': 11},121.0,-68.0,-0.35978835978835977
bloom637,"Buchet cu trandafiri, frezii si alstoemeria",229.0,249.0,"{'Trandafir': 5, 'Alstroemeria': 5, 'Frezia': 5}",111.0,-118.0,-0.5152838427947598
bloom70,Buchet cu flori pastelate,269.0,269.0,"{'Trandafir': 4, 'Crizantema': 3, 'Alstroemeria': 4, 'Frezia': 5}",120.0,-149.0,-0.5539033457249071
