Product ID,Product name,Competitor Price (RON),Original Price (RON),Contents,Price N (RON),Difference,Difference (%)
10315,Incognito,628.2,628.2,"{'Trandafir': 18, 'Alstroemeria': 15}",266.0,-362.0,-0.5762496020375676
10122,Crizanteme albe,331.2,331.2,{'Crizantema': 9},83.0,-248.0,-0.748792270531401
10167,Buchet zambile,223.2,223.2,{'Zambila': 5},51.0,-172.0,-0.7706093189964158
10160,Cosulet Valentine's,249.0,249.0,{'Trandafir': 9},101.0,-148.0,-0.5943775100401606
10102,Buchet lalele rosii,298.08,331.2,{'Lalea': 25},136.0,-162.0,-0.5434782608695653
10128,Gladiole roz,250.56,313.2,{'Gladiole': 19},87.0,-164.0,-0.6545338441890166
1061,Crini cu santini,573.48,637.2,"{'Crin': 5, 'Crizantema': 8}",175.0,-398.0,-0.6940085094510706
10287,Amalgam cromatic,475.2,475.2,"{'Iris': 9, 'Santini': 4, 'Crizantema': 5, 'Trandafir': 7}",181.0,-294.0,-0.6186868686868687
1026,Frezii albe,367.2,367.2,{'Frezia': 25},136.0,-231.0,-0.6290849673202614
10201,Buchet trandafiri rosii,529.2,529.2,{'Trandafir': 27},281.0,-248.0,-0.4686318972033257
10345,Cutie trandafiri rosii,484.2,484.2,{'Trandafir': 19},201.0,-283.0,-0.5844692275919042
10179,Buchet zambile roz,223.2,223.2,{'Zambila': 5},51.0,-172.0,-0.7706093189964158
10267,Crini si crizanteme,298.08,331.2,"{'Crin': 2, 'Crizantema': 5}",91.0,-207.0,-0.6944444444444445
10152,Buna seara,412.2,412.2,"{'Trandafir': 5, 'Crizantema': 5, 'Alstroemeria': 7}",136.0,-276.0,-0.6695778748180495
10297,39 Trandafiri rosii,718.2,718.2,{'Trandafir': 39},401.0,-317.0,-0.44138123085491504
10168,Buchet zambile albe,223.2,223.2,{'Zambila': 5},51.0,-172.0,-0.7706093189964158
10150,Buchet lalele mov,331.2,331.2,{'Lalea': 25},136.0,-195.0,-0.588768115942029
10289,Buchet cale,349.2,349.2,{'Cale': 9},119.0,-230.0,-0.6586483390607102
10310,Adorabil,322.2,322.2,"{'Gerbera': 7, 'Crizantema': 4}",85.0,-237.0,-0.7355679702048418
10206,Buchet floarea soarelui,313.2,313.2,{'Floarea-soarelui': 11},99.0,-214.0,-0.6832694763729247
10342,Buchet 15 trandafiri,358.2,358.2,{'Trandafir': 15},161.0,-197.0,-0.5499720826353992
107,Zambet cald,403.2,403.2,"{'Crin': 1, 'Lisianthus': 4, 'Garoafa': 8}",87.0,-316.0,-0.7837301587301587
10183,Lalele si irisi,529.2,529.2,"{'Lalea': 19, 'Iris': 20}",186.0,-343.0,-0.6481481481481481
10230,Trandafiri galbeni rotund,295.2,295.2,{'Trandafir': 11},121.0,-174.0,-0.5894308943089431
1029,Frezii Rosii,367.2,367.2,{'Frezia': 25},136.0,-231.0,-0.6290849673202614
1028,Frezii mov,367.2,367.2,{'Frezia': 25},136.0,-231.0,-0.6290849673202614
10210,Buchet mixt,277.2,277.2,"{'Gerbera': 5, 'Crizantema': 4}",73.0,-204.0,-0.735930735930736
10233,Trandafiri rosii rotund,295.2,295.2,{'Trandafir': 11},121.0,-174.0,-0.5894308943089431
10291,Buchet 99 trandafiri,1780.2,1780.2,{'Trandafir': 99},1001.0,-779.0,-0.4375912818784406
10217,Gerbera multicolore,259.2,259.2,{'Gerbera': 11},77.0,-182.0,-0.7021604938271605
10263,Crini si trandafiri,547.2,547.2,"{'Trandafir': 14, 'Crin': 3}",211.0,-336.0,-0.6140350877192982
1024,Crini asiatici roz,457.2,457.2,{'Crin': 7},151.0,-306.0,-0.6692913385826772
10108,17 Trandafiri albi,367.65,387.0,{'Trandafir': 17},181.0,-187.0,-0.5086359309125528
10170,Martisor extravagant,1303.2,1303.2,{'Trandafir': 39},401.0,-902.0,-0.6921424186617556
10336,Buchet iscoditor,718.2,718.2,"{'Trandafir': 19, 'Lisianthus': 9, 'Trachelium': 5}",303.0,-415.0,-0.5778334725703146
10151,Buna dimineata,533.97,628.2,"{'Crin': 3, 'Alstroemeria': 5, 'Gerbera': 4, 'Cale': 5}",180.0,-354.0,-0.6629585931793921
10364,Irisi si frezii,361.8,361.8,"{'Iris': 15, 'Frezia': 10}",121.0,-241.0,-0.6661138750690989
1033,Irisi albi,313.2,313.2,{'Iris': 19},87.0,-226.0,-0.7215836526181354
10118,Buchet crini,475.2,475.2,{'Crin': 9},191.0,-284.0,-0.5976430976430976
10109,17 Trandafiri galbeni,367.65,387.0,{'Trandafir': 17},181.0,-187.0,-0.5086359309125528
10303,Cos pastelat,538.2,538.2,{'Trandafir': 19},201.0,-337.0,-0.6261612783351913
10306,Buchet pascal,412.2,412.2,"{'Iris': 8, 'Trandafir': 7, 'Crin': 2}",153.0,-259.0,-0.6283357593401262
10296,Caldura estivala,511.2,511.2,"{'Trandafir': 10, 'Cale': 9}",219.0,-292.0,-0.5712050078247262
10325,Margarete zambitoare,358.2,358.2,{'Crizantema': 9},83.0,-275.0,-0.7677275265214965
10161,Raze de bucurie,457.2,457.2,"{'Crin': 2, 'Alstroemeria': 7, 'Trandafir': 7, 'Minirosa': 5}",206.0,-251.0,-0.5489938757655293
1099,Buchet lalele albe,298.08,331.2,{'Lalea': 25},136.0,-162.0,-0.5434782608695653
1040,Buchet gerbera,255.15,340.2,{'Gerbera': 11},77.0,-178.0,-0.6976288457769939
1055,39 Trandafiri multicolori,718.2,718.2,{'Trandafir': 39},401.0,-317.0,-0.44138123085491504
10255,Buchet Constantin,313.2,313.2,{'Crizantema': 9},83.0,-230.0,-0.7343550446998723
10295,Cupidon in alb,583.2,583.2,{'Trandafir': 25},261.0,-322.0,-0.5521262002743483
10165,Extravaganta estivala,511.2,511.2,"{'Trandafir': 7, 'Gerbera': 6, 'Crin': 2}",157.0,-354.0,-0.6924882629107981
10158,Special Valentine's,265.05,279.0,{'Trandafir': 11},121.0,-144.0,-0.5432937181663837
10273,Martisor mix,439.2,439.2,"{'Crin': 2, 'Trandafir': 5, 'Crizantema': 5, 'Garoafa': 5}",156.0,-283.0,-0.6443533697632059
10218,Irisi de lux,403.2,403.2,{'Iris': 25},111.0,-292.0,-0.7242063492063492
10257,Lisianthus mix,403.2,403.2,{'Lisianthus': 15},131.0,-272.0,-0.6746031746031746
1044,23 Trandafiri galbeni,469.8,469.8,{'Trandafir': 23},241.0,-229.0,-0.4874414644529587
1085,Gerbera albe,306.18,340.2,{'Gerbera': 19},125.0,-181.0,-0.5911555294271343
10181,Moment roz,476.28,529.2,"{'Trandafir': 9, 'Alstroemeria': 10}",151.0,-325.0,-0.6823717141177459
10121,Garoafe mix,277.2,277.2,{'Garoafa': 19},68.0,-209.0,-0.753968253968254
